# time,action,value (hex for writes)
0,W,00000001
5,W,00000002
10,W,00000003
15,W,00000004
20,R,
25,W,00000005
30,W,00000006
35,R,
40,R,
45,W,00000007
50,W,00000008
55,W,00000009
60,W,0000000A
65,W,0000000B
70,W,0000000C
75,W,0000000D
80,W,0000000E
85,W,0000000F
90,W,00000010
95,W,00000011
100,W,00000012
105,W,00000013
110,R,
115,R,
120,W,FFFFFFFF
125,W,EEEEEEEE
130,W,DDDDDDDD
135,W,CCCCCCCC
140,W,BBBBBBBB
145,W,AAAAAAAA
150,W,99999999
155,W,88888888
160,R,
165,R,
170,R,
175,R,
180,R,
185,R,
190,R,
195,R,
200,STOP,
